식당명,대표메뉴,주소,lat,lng
어바웃진스,바비큐,서울특별시 종로구 사직로8길 24 내수동 71 경희궁의아침 2단지,37.573978,126.971081
품,한식,서울특별시 용산구 후암동 358-17 ,37.5490343,126.9834104
품 서울,"한정식, 파인다이닝",서울특별시 용산구 두텁바위로60길 49 후암동 358-17 대원정사 빌딩 별관 4층,37.5489161,126.9833721
더백푸드트럭,"수제버거, 파니니, 쿠바노",서울특별시 용산구 후암동 406-57 1층,37.5472653,126.9838962
골든크럼블 바이 몽고네,"크럼블, 티라미수",서울특별시 용산구 두텁바위로 후암동 43-14 티엠타운 1층 골든크럼블,37.5515945,126.9808338
원조남산왕돈까스,왕돈가스,서울특별시 중구 예장동 8-53,37.5573335,126.9860967
춘광사설,토마토라멘,서울특별시 용산구 신흥로26길 11-20 용산동2가 1-219 1층 춘광사설,37.5455985,126.9835951
사랑방참숯화로구이,삼겹살,서울특별시 용산구 신흥로36길 4,37.5463549,126.981772
해크니,카페,서울특별시 용산구 신흥로 34,37.5458733,126.9821518
꼼모아,"프렌치, 와인, 수플레",서울특별시 용산구 용산동2가 26-10,37.5434828,126.9876897
토스트프랑세,"토스트, 카페, 프렌치토스트",서울특별시 용산구 용산동2가 27-3,37.5433963,126.987477
제르보,카페,서울특별시 송파구 신천동 29 에비뉴엘 2층,37.5130605,127.103495
바이킹스워프,"랍스타, 뷔페",서울특별시 송파구 신천동 29 제2롯데월드 쇼핑몰 1층,37.5137082,127.1041973
빅가이즈크랩,갈릭랍스터,서울특별시 송파구 올림픽로 240,37.5112348,127.0980274
멘야하나비,일본라면,서울특별시 송파구 송파동 57,37.5108813,127.1077118
오모리찌개,오모리찌개 #옛날 손짜장,서울특별시 송파구 송파대로 471 석촌동 183-3,37.5080089,127.1040485
뽀빠이분식,"떡볶이, 라면, 쫄면",서울특별시 송파구 신천동 7,37.5188607,127.0992536
대갈곱창&막창,돼지막창구이,서울특별시 송파구 송파동 39-9,37.5099014,127.1089643
오사카하루,야끼니꾸 부위별,서울특별시 송파구 올림픽로 32길 19-15,37.5147852,127.1101721
만푸쿠,"일본가정식, 연어, 연어덮밥",서울특별시 송파구 송파동 52-1,37.51042940000001,127.1102894
미자식당,명란돈가쓰,서울특별시 송파구 송파동 51-9,37.5097353,127.1102433
고봉삼계탕,삼계탕,서울특별시 강남구 봉은사로 524 삼성동 159,37.5101935,127.0585824
보름쇠,바비큐,서울특별시 강남구 삼성동 155-5 ,37.5092786,127.056619
피에르에르메,마카롱,서울특별시 강남구 삼성동 159-1,37.51032379999999,127.0610228
쿠시152,쿠시세트 A,서울특별시 강남구 삼성로 104길 16,37.5109558,127.0560945
대장금,수육전골,서울특별시 강남구 삼성로 530,37.5093412,127.0556477
박서방 순대국밥,"순대국밥, 순대",서울특별시 강남구 삼성1동 156-5,37.5086584,127.0559006
꽃지,"꽃게장, 꽃게찜",서울특별시 강남구 삼성동 160-18,37.514184,127.0616079
파크 하얏트 서울특별시 더라운지,당근 초콜릿 빙수,서울특별시 강남구 테헤란로 606 대치동 995-14 파크 하얏트 서울특별시 24층,37.5085791,127.0641676
비야게레로,멕시코 음식,서울특별시 강남구 봉은사로 78길 12,37.511924,127.0527715
모퉁이우 ripe,한우 오마카세,서울특별시 강남구 영동대로96길 26 삼성동 169-8 9층,37.5109071,127.0648161
친친원테이블,이탈리안,서울특별시 종로구 옥인3길 16,37.5806617,126.9658848
아이엠 베이글,"카페, 커피, 베이글",서울특별시 종로구 누상동 17,37.5809339,126.966317
스코프,디저트,서울특별시 종로구 누하동 90-2,37.5803223,126.9674644
인디테이블,영국식 인도요리,서울특별시 중구 남대문로 5가 526,37.5565217,126.975145
시즌즈,프랑스식,서울특별시 중구 남대문로5가 395,37.5554538,126.9754336
닭칼원조집,닭한마리,서울특별시 중구 중림동 110-3,37.5584798,126.9690527
중림장,도가니탕,서울특별시 중구 중림동 468,37.5602339,126.9676919
은호식당,꼬리토막,서울특별시 중구 남창동 50-43,37.5589643,126.9770018
부원면옥,평양냉면,서울특별시 중구 남창동 47-10 ,37.558399,126.9775935
두툼,삼겹살,서울특별시 중구 중림동 200,37.5581419,126.9652488
강서면옥,평양냉면,서울특별시 중구 서소문동 120-15,37.5619851,126.9739462
비진도 해물뚝배기,전복 해물뚝배기,서울특별시 서대문구 합동 21-23,37.5616365,126.9671383
풍년 닭도리탕,닭볶음탕,서울특별시 중구 서소문동 120-12,37.562308,126.974192
